n,no,time,num
0,1,2020-01-30,1
1,2,2020-01-31,1
2,3,2020-02-01,1
3,4,2020-02-02,2
4,5,2020-02-03,3
5,6,2020-02-04,3
6,7,2020-02-05,3
7,8,2020-02-06,3
8,9,2020-02-07,3
9,10,2020-02-08,3
10,11,2020-02-09,3
11,12,2020-02-10,3
12,13,2020-02-11,3
13,14,2020-02-12,3
14,15,2020-02-13,3
15,16,2020-02-14,3
16,17,2020-02-15,3
17,18,2020-02-16,3
18,19,2020-02-17,3
19,20,2020-02-18,3
20,21,2020-02-19,3
21,22,2020-02-20,3
22,23,2020-02-21,3
23,24,2020-02-22,3
24,25,2020-02-23,3
25,26,2020-02-24,3
26,27,2020-02-25,3
27,28,2020-02-26,3
28,29,2020-02-27,3
29,30,2020-02-28,3
30,31,2020-03-01,3
31,32,2020-03-02,5
32,33,2020-03-03,11
33,34,2020-03-04,28
34,35,2020-03-05,30
35,36,2020-03-06,31
36,37,2020-03-07,33
37,38,2020-03-08,40
38,39,2020-03-09,43
39,40,2020-03-10,59
40,41,2020-03-11,62
41,42,2020-03-12,74
42,43,2020-03-13,81
43,44,2020-03-14,84
44,45,2020-03-15,107
45,46,2020-03-16,117
46,47,2020-03-17,137
47,48,2020-03-18,151
48,49,2020-03-19,173
49,50,2020-03-20,223
50,51,2020-03-21,283
51,52,2020-03-22,341
52,53,2020-03-23,425
53,54,2020-03-24,519
54,55,2020-03-25,606
55,56,2020-03-26,649
56,57,2020-03-27,694
57,58,2020-03-28,918
58,59,2020-03-29,1024
59,60,2020-03-30,1071
60,61,2020-03-31,1251
61,62,2020-04-01,1637
62,63,2020-04-02,2032
63,64,2020-04-03,2567
64,65,2020-04-04,3082
65,66,2020-04-05,3588
66,67,2020-04-06,4314
67,68,2020-04-07,4911
68,69,2020-04-08,5480
69,70,2020-04-09,6237
70,71,2020-04-10,6725
71,72,2020-04-11,7997
72,73,2020-04-12,8504
73,74,2020-04-13,9240
74,75,2020-04-14,10541
75,76,2020-04-15,11555
76,77,2020-04-16,12759
77,78,2020-04-17,13835
78,79,2020-04-18,14792
79,80,2020-04-19,16402
80,81,2020-04-20,17615
81,82,2020-04-21,18985
82,83,2020-04-22,20471
83,84,2020-04-23,21797
84,85,2020-04-24,23502
85,86,2020-04-25,24942
86,87,2020-04-26,26917
87,88,2020-04-27,28380
88,89,2020-04-28,29451
89,90,2020-04-29,31787
90,91,2020-04-30,33610
91,92,2020-05-01,35043
92,93,2020-05-02,37336
93,94,2020-05-03,39699
94,95,2020-05-04,42836
95,96,2020-05-05,46476
96,97,2020-05-06,49852
97,98,2020-05-07,53045
98,99,2020-05-08,57306
99,100,2020-05-09,61356
100,101,2020-05-10,65021
101,102,2020-05-11,69149
102,103,2020-05-12,72593
103,104,2020-05-13,77729
104,105,2020-05-14,79333
105,106,2020-05-15,83072
106,107,2020-05-16,88506
107,108,2020-05-17,92239
108,109,2020-05-18,97577
109,110,2020-05-19,102335
110,111,2020-05-20,107819
111,112,2020-05-21,113461
112,113,2020-05-22,119574
113,114,2020-05-23,130506
114,115,2020-05-24,133725
115,116,2020-05-25,144069
116,117,2020-05-26,147144
117,118,2020-05-27,154820
118,119,2020-05-28,163120
119,120,2020-05-29,169011
120,121,2020-05-30,175957
121,122,2020-05-31,188989
122,123,2020-06-01,194700
123,124,2020-06-02,201997
124,125,2020-06-03,207191
125,126,2020-06-04,221222
126,127,2020-06-05,233576
127,128,2020-06-06,239644
128,129,2020-06-07,254242
129,130,2020-06-08,260093
130,131,2020-06-09,270876
131,132,2020-06-10,276583
132,133,2020-06-11,286577
133,134,2020-06-12,297535
134,135,2020-06-13,308916
135,136,2020-06-14,320922
136,137,2020-06-15,332424
137,138,2020-06-16,343091
138,139,2020-06-17,354065
139,140,2020-06-18,366946
140,141,2020-06-19,380532
141,142,2020-06-20,395048
142,143,2020-06-21,410451
143,144,2020-06-22,425282
144,145,2020-06-23,440215
145,146,2020-06-24,456183
146,147,2020-06-25,473105
147,148,2020-06-26,490401
148,149,2020-06-27,508953
149,150,2020-06-28,528859
150,151,2020-06-29,548318
151,152,2020-06-30,566840
152,153,2020-07-01,585481
153,154,2020-07-02,604641
154,155,2020-07-03,625544
155,156,2020-07-04,648315
156,157,2020-07-05,673165
157,158,2020-07-06,697413
158,159,2020-07-07,719664
159,160,2020-07-08,742417
160,161,2020-07-09,767296
161,162,2020-07-10,793802
162,163,2020-07-11,820916
163,164,2020-07-12,849553
164,165,2020-07-13,878254
165,166,2020-07-14,906752
166,167,2020-07-15,936181
167,168,2020-07-16,968876
168,169,2020-07-17,1003832
169,170,2020-07-18,1038716
170,171,2020-07-19,1077781
171,172,2020-07-20,1118206
172,173,2020-07-21,1155354
173,174,2020-07-22,1193078
174,175,2020-07-23,1238798
175,176,2020-07-24,1288108
176,177,2020-07-25,1337024
177,178,2020-07-26,1385685
178,179,2020-07-27,1435616
179,180,2020-07-28,1480073
180,181,2020-07-29,1531669
181,182,2020-07-30,1582028
182,183,2020-07-31,1638827
183,184,2020-08-01,1695988
184,185,2020-08-02,1750723
185,186,2020-08-03,1803695
186,187,2020-08-04,1855745
187,188,2020-08-05,1908254
188,189,2020-08-06,1964536
189,190,2020-08-07,2027074
190,191,2020-08-08,2088611
191,192,2020-08-09,2153010
192,193,2020-08-10,2215074
193,194,2020-08-11,2268675
