n,no,time,num
0,1,2020-03-22,81566
1,2,2020-03-23,81691
2,3,2020-03-24,81806
3,4,2020-03-25,81896
4,5,2020-03-26,82034
5,6,2020-03-27,82164
6,7,2020-03-28,82282
7,8,2020-03-29,82420
8,9,2020-03-30,82504
9,10,2020-03-31,82601
10,11,2020-04-01,82690
11,12,2020-04-02,82771
12,13,2020-04-03,82859
13,14,2020-04-04,82898
14,15,2020-04-05,82965
15,16,2020-04-06,83038
16,17,2020-04-07,83094
17,18,2020-04-08,83188
18,19,2020-04-09,83263
19,20,2020-04-10,83323
20,21,2020-04-11,83399
21,22,2020-04-12,83522
22,23,2020-04-13,83606
23,24,2020-04-14,83699
24,25,2020-04-15,83751
25,26,2020-04-16,83798
26,27,2020-04-17,84155
27,28,2020-04-18,84185
28,29,2020-04-19,84225
29,30,2020-04-20,84239
30,31,2020-04-21,84278
31,32,2020-04-22,84294
32,33,2020-04-24,84311
33,34,2020-04-25,84327
34,35,2020-04-26,84338
35,36,2020-04-27,84341
36,37,2020-04-28,84347
37,38,2020-04-29,84369
38,39,2020-04-30,84373
39,40,2020-05-01,84385
40,41,2020-05-02,84388
41,42,2020-05-03,84391
42,43,2020-05-04,84400
43,44,2020-05-05,84404
44,45,2020-05-06,84406
45,46,2020-05-07,84409
46,47,2020-05-08,84415
47,48,2020-05-09,84416
48,49,2020-05-10,84430
49,50,2020-05-11,84450
50,51,2020-05-12,84451
51,52,2020-05-13,84458
52,53,2020-05-14,84464
53,54,2020-05-15,84469
54,55,2020-05-16,84478
55,56,2020-05-17,84484
56,57,2020-05-18,84494
57,58,2020-05-19,84503
58,59,2020-05-20,84503
59,60,2020-05-21,84503
60,61,2020-05-22,84503
61,62,2020-05-23,84522
62,63,2020-05-24,84525
63,64,2020-05-25,84536
64,65,2020-05-26,84543
65,66,2020-05-27,84544
66,67,2020-05-28,84547
67,68,2020-05-29,84547
68,69,2020-05-30,84565
69,70,2020-05-31,84570
70,71,2020-06-01,84588
71,72,2020-06-02,84597
72,73,2020-06-03,84604
73,74,2020-06-04,84603
74,75,2020-06-05,84614
75,76,2020-06-06,84620
76,77,2020-06-07,84629
77,78,2020-06-08,84634
78,79,2020-06-09,84638
79,80,2020-06-10,84641
80,81,2020-06-11,84652
81,82,2020-06-12,84659
82,83,2020-06-13,84671
83,84,2020-06-14,84729
84,85,2020-06-15,84778
85,86,2020-06-16,84823
86,87,2020-06-17,84867
87,88,2020-06-18,84903
88,89,2020-06-19,84940
89,90,2020-06-20,84940
90,91,2020-06-21,84999
91,92,2020-06-22,85018
92,93,2020-06-23,85070
93,94,2020-06-24,85099
94,95,2020-06-25,85119
95,96,2020-06-26,85148
96,97,2020-06-27,85172
97,98,2020-06-28,85190
98,99,2020-06-29,85204
99,100,2020-06-30,85227
100,101,2020-07-01,85232
101,102,2020-07-02,85263
102,103,2020-07-03,85278
103,104,2020-07-04,85287
104,105,2020-07-05,85306
105,106,2020-07-06,85320
106,107,2020-07-07,85338
107,108,2020-07-08,85366
108,109,2020-07-09,85399
109,110,2020-07-10,85441
110,111,2020-07-11,85441
111,112,2020-07-12,85522
112,113,2020-07-13,85568
113,114,2020-07-14,85568
