,no,time,num
0,1,2020-01-21,1
1,2,2020-01-22,5
2,3,2020-01-23,9
3,4,2020-01-24,32
4,5,2020-01-25,83
5,6,2020-01-26,128
6,7,2020-01-27,168
7,8,2020-01-28,206
8,9,2020-01-29,278
9,10,2020-01-30,352
10,11,2020-01-31,422
11,12,2020-02-01,493
12,13,2020-02-02,566
13,14,2020-02-03,675
14,15,2020-02-04,764
15,16,2020-02-05,851
16,17,2020-02-06,914
17,18,2020-02-07,981
18,19,2020-02-08,1033
19,20,2020-02-09,1073
20,21,2020-02-10,1105
21,22,2020-02-11,1135
22,23,2020-02-12,1169
23,24,2020-02-13,1184
24,25,2020-02-14,1184
25,26,2020-02-15,1231
26,27,2020-02-16,1246
27,28,2020-02-17,1257
28,29,2020-02-18,1262
29,30,2020-02-19,1265
30,31,2020-02-20,1267
31,32,2020-02-21,1270
32,33,2020-02-22,1271
33,34,2020-02-23,1271
34,35,2020-02-24,1271
35,36,2020-02-25,1271
36,37,2020-02-26,1272
37,38,2020-02-27,1272
38,39,2020-02-28,1272
39,40,2020-02-29,1272
40,41,2020-03-01,1272
41,42,2020-03-02,1272
42,43,2020-03-03,1272
43,44,2020-03-04,1272
44,45,2020-03-05,1272
45,46,2020-03-06,1272
46,47,2020-03-07,1272
47,48,2020-03-08,1272
48,49,2020-03-09,1272
49,50,2020-03-10,1272
50,51,2020-03-11,1273
51,52,2020-03-12,1273
52,53,2020-03-13,1273
53,54,2020-03-14,1273
54,55,2020-03-15,1273
55,56,2020-03-16,1273
56,57,2020-03-17,1273
57,58,2020-03-18,1273
58,59,2020-03-19,1273
59,60,2020-03-20,1273
60,61,2020-03-21,1273
61,62,2020-03-22,1274
62,63,2020-03-23,1274
63,64,2020-03-24,1274
64,65,2020-03-25,1275
65,66,2020-03-26,1275
66,67,2020-03-27,1275
67,68,2020-03-28,1276
68,69,2020-03-29,1276
69,70,2020-03-30,1276
70,71,2020-03-31,1276
71,72,2020-04-01,1276
72,73,2020-04-02,1276
73,74,2020-04-03,1276
74,75,2020-04-04,1276
75,76,2020-04-05,1276
76,77,2020-04-06,1276
77,78,2020-04-07,1276
78,79,2020-04-08,1276
79,80,2020-04-09,1276
80,81,2020-04-10,1276
81,82,2020-04-11,1276
82,83,2020-04-12,1276
83,84,2020-04-13,1276
84,85,2020-04-14,1276
85,86,2020-04-15,1276
86,87,2020-04-16,1276
87,88,2020-04-17,1276
88,89,2020-04-18,1276
89,90,2020-04-19,1276
90,91,2020-04-20,1276
91,92,2020-04-21,1276
92,93,2020-04-22,1276
93,94,2020-04-23,1276
94,95,2020-04-24,1276
95,96,2020-04-25,1276
96,97,2020-04-26,1276
97,98,2020-04-27,1276
98,99,2020-04-28,1276
99,100,2020-04-29,1276
100,101,2020-04-30,1276
101,102,2020-05-01,1276
102,103,2020-05-02,1276
103,104,2020-05-03,1276
104,105,2020-05-04,1276
105,106,2020-05-05,1276
106,107,2020-05-06,1276
107,108,2020-05-07,1276
108,109,2020-05-08,1276
109,110,2020-05-09,1276
110,111,2020-05-10,1276
111,112,2020-05-11,1276
112,113,2020-05-12,1276
113,114,2020-05-13,1276
114,115,2020-05-14,1276
115,116,2020-05-15,1276
116,117,2020-05-16,1276
117,118,2020-05-17,1276
118,119,2020-05-18,1276
119,120,2020-05-19,1276
120,121,2020-05-20,1276
121,122,2020-05-21,1276
122,123,2020-05-22,1276
123,124,2020-05-23,1276
124,125,2020-05-24,1276
125,126,2020-05-25,1276
126,127,2020-05-26,1276
127,128,2020-05-27,1276
128,129,2020-05-28,1276
129,130,2020-05-29,1276
130,131,2020-05-30,1276
131,132,2020-05-31,1276
132,133,2020-06-01,1276
133,134,2020-06-02,1276
134,135,2020-06-03,1276
135,136,2020-06-04,1276
136,137,2020-06-05,1276
137,138,2020-06-06,1276
138,139,2020-06-07,1276
139,140,2020-06-08,1276
140,141,2020-06-09,1276
141,142,2020-06-10,1276
142,143,2020-06-11,1276
143,144,2020-06-12,1276
144,145,2020-06-13,1276
145,146,2020-06-14,1276
146,147,2020-06-15,1276
147,148,2020-06-16,1276
148,149,2020-06-17,1276
149,150,2020-06-18,1276
150,151,2020-06-19,1276
151,153,2020-06-21,1276
152,154,2020-06-22,1276
153,155,2020-06-23,1276
154,156,2020-06-24,1276
155,157,2020-06-25,1276
156,158,2020-06-26,1276
157,159,2020-06-27,1276
158,160,2020-06-28,1276
159,161,2020-06-29,1276
160,162,2020-06-30,1276
161,163,2020-07-01,1276
162,164,2020-07-02,1276
163,165,2020-07-03,1276
164,166,2020-07-04,1276
165,167,2020-07-05,1276
166,168,2020-07-06,1276
167,169,2020-07-07,1276
168,170,2020-07-08,1276
169,171,2020-07-09,1276
170,172,2020-07-10,1276
171,173,2020-07-11,1276
172,174,2020-07-12,1276
173,175,2020-07-13,1276
174,176,2020-07-14,1276
175,177,2020-07-15,1276
176,178,2020-07-16,1276
177,179,2020-07-17,1276
178,180,2020-07-18,1276
179,181,2020-07-19,1276
180,182,2020-07-20,1276
181,183,2020-07-21,1276
182,184,2020-07-22,1276
183,185,2020-07-23,1276
184,186,2020-07-24,1276
185,187,2020-07-25,1276
186,188,2020-07-26,1276
187,189,2020-07-27,1276
188,190,2020-07-28,1276
189,191,2020-07-29,1276
190,192,2020-07-30,1276
191,193,2020-07-31,1276
192,194,2020-08-01,1276
193,195,2020-08-02,1276
194,196,2020-08-03,1276
195,197,2020-08-04,1276
196,198,2020-08-05,1276
197,199,2020-08-06,1276
198,200,2020-08-07,1276
199,201,2020-08-08,1276
200,202,2020-08-09,1276
201,203,2020-08-10,1276
202,204,2020-08-11,1276
203,205,2020-08-12,1276
204,206,2020-08-13,1276
205,207,2020-08-14,1276
206,208,2020-08-15,1276
207,209,2020-08-16,1276
208,210,2020-08-17,1276
209,211,2020-08-18,1276
210,212,2020-08-19,1276
211,213,2020-08-20,1276
212,214,2020-08-21,1276
213,215,2020-08-22,1276
214,216,2020-08-23,1276
215,217,2020-08-24,1276
216,218,2020-08-25,1276
217,219,2020-08-26,1276
218,220,2020-08-27,1276
219,221,2020-08-28,1276
220,222,2020-08-29,1276
221,223,2020-08-30,1276
222,224,2020-08-31,1276
223,225,2020-09-01,1276
224,226,2020-09-02,1276
225,227,2020-09-03,1276
226,228,2020-09-04,1276
227,229,2020-09-05,1276
228,230,2020-09-06,1276
229,231,2020-09-07,1276
230,232,2020-09-08,1276
231,233,2020-09-09,1276
232,234,2020-09-10,1276
233,235,2020-09-11,1276
234,236,2020-09-12,1277
235,237,2020-09-13,1277
236,238,2020-09-14,1277
237,239,2020-09-15,1277
238,240,2020-09-16,1278
239,241,2020-09-17,1278
240,242,2020-09-18,1278
241,243,2020-09-19,1279
242,244,2020-09-20,1279
243,245,2020-09-21,1279
244,246,2020-09-22,1280
245,247,2020-09-23,1280
246,248,2020-09-24,1280
247,249,2020-09-25,1280
248,250,2020-09-26,1280
249,251,2020-09-27,1280
250,252,2020-09-28,1280
251,253,2020-09-29,1281
252,254,2020-09-30,1281
253,255,2020-10-01,1281
254,256,2020-10-02,1281
255,257,2020-10-03,1281
256,258,2020-10-04,1281
257,259,2020-10-05,1281
258,260,2020-10-06,1281
259,261,2020-10-07,1281
260,262,2020-10-08,1281
261,263,2020-10-09,1281
262,264,2020-10-10,1281
263,265,2020-10-11,1281
264,266,2020-10-12,1281
265,267,2020-10-13,1281
266,268,2020-10-14,1281
267,269,2020-10-15,1281
268,270,2020-10-16,1281
269,271,2020-10-17,1281
270,272,2020-10-18,1281
271,273,2020-10-19,1281
272,274,2020-10-20,1283
273,275,2020-10-21,1283
274,276,2020-10-22,1283
275,277,2020-10-23,1283
276,278,2020-10-24,1283
277,279,2020-10-25,1283
278,280,2020-10-26,1283
279,281,2020-10-27,1284
