,序号,地区名,开始时间
0,1,不丹,2020-03-06
1,2,东帝汶,2020-03-21
2,3,中国,2020-03-22
3,4,中非共和国,2020-03-15
4,5,丹麦,2020-02-27
5,6,乌克兰,2020-03-03
6,7,乌兹别克斯坦,2020-03-15
7,8,乌干达,2020-03-22
8,9,乌拉圭,2020-03-14
9,10,乍得,2020-03-20
10,11,也门,2020-04-10
11,12,亚美尼亚,2020-03-12
12,13,以色列,2020-02-21
13,14,伊拉克,2020-02-25
14,15,伊朗,2020-02-19
15,16,伯利兹,2020-03-24
16,17,佛得角,2020-03-20
17,18,俄罗斯,2020-01-31
18,19,保加利亚,2020-03-08
19,20,克罗地亚,2020-02-25
20,21,冈比亚,2020-03-18
21,22,冰岛,2020-02-29
22,23,几内亚,2020-03-13
23,24,几内亚比绍,2020-03-25
24,25,列支敦士登公国,2020-03-06
25,26,刚果（布）,2020-03-15
26,27,刚果（金）,2020-03-10
27,28,利比亚,2020-03-25
28,29,利比里亚,2020-03-16
29,30,加拿大,2020-01-28
30,31,加纳,2020-03-13
31,32,加蓬,2020-03-13
32,33,匈牙利,2020-03-05
33,34,北马其顿,2020-02-26
34,35,南非,2020-03-05
35,36,博茨瓦纳,2020-03-31
36,37,卡塔尔,2020-02-29
37,38,卢旺达,2020-03-16
38,39,卢森堡,2020-03-07
39,40,印度,2020-01-30
40,41,印度尼西亚,2020-03-02
41,42,危地马拉,2020-03-14
42,43,厄瓜多尔,2020-03-01
43,44,厄立特里亚,2020-03-22
44,45,叙利亚,2020-03-23
45,46,古巴,2020-03-12
46,47,吉尔吉斯斯坦,2020-03-18
47,48,吉布提,2020-03-18
48,49,哈萨克斯坦,2020-03-13
49,50,哥伦比亚,2020-03-07
50,51,哥斯达黎加,2020-03-07
51,52,喀麦隆,2020-03-06
52,53,土耳其,2020-03-11
53,54,圣卢西亚,2020-03-21
54,55,圣基茨和尼维斯,2020-03-26
55,56,圣文森特和格林纳丁斯,2020-03-21
56,57,圣马力诺,2020-03-06
57,58,圭亚那,2020-03-12
58,59,坦桑尼亚,2020-03-16
59,60,埃及,2020-03-02
60,61,埃塞俄比亚,2020-03-13
61,62,塔吉克斯坦,2020-04-30
62,63,塞内加尔,2020-03-03
63,64,塞尔维亚,2020-03-06
64,65,塞拉利昂,2020-03-31
65,66,塞浦路斯,2020-03-10
66,67,塞舌尔,2020-03-15
67,68,墨西哥,2020-02-28
68,69,多哥,2020-03-06
69,70,多米尼克,2020-03-23
70,71,多米尼加,2020-03-01
71,72,奥地利,2020-02-25
72,73,委内瑞拉,2020-03-14
73,74,孟加拉,2020-03-08
74,75,安哥拉,2020-03-21
75,76,安提瓜和巴布达,2020-03-14
76,77,安道尔,2020-03-02
77,78,尼加拉瓜,2020-03-19
78,79,尼日利亚,2020-02-28
79,80,尼日尔,2020-03-20
80,81,尼泊尔,2020-01-28
81,82,巴勒斯坦,2020-03-06
82,83,巴哈马,2020-03-21
